date,Predicted Prices
2024-09-27,254.26977301087356
2024-09-28,254.3050120197204
2024-09-29,254.34025102856728
2024-09-30,254.37549003741415
2024-10-01,254.41072904626103
2024-10-02,254.44596805510787
2024-10-03,254.48120706395474
2024-10-04,254.5164460728016
2024-10-05,254.55168508164846
2024-10-06,254.58692409049533
2024-10-07,254.6221630993422
2024-10-08,254.65740210818907
2024-10-09,254.69264111703592
2024-10-10,254.7278801258828
2024-10-11,254.76311913472966
2024-10-12,254.7983581435765
2024-10-13,254.83359715242338
2024-10-14,254.86883616127025
2024-10-15,254.9040751701171
2024-10-16,254.93931417896397
2024-10-17,254.97455318781084
2024-10-18,255.0097921966577
2024-10-19,255.04503120550456
2024-10-20,255.08027021435143
2024-10-21,255.1155092231983
2024-10-22,255.15074823204515
2024-10-23,255.18598724089202
2024-10-24,255.2212262497389
2024-10-25,255.25646525858576
2024-10-26,255.2917042674326
